"","CVE_ENT","denuncias_homs","poblacion","tasahom","loghoms","logpop","tasahom_cntr","logtasa"
"1",1,39,1252265,3.11435678550467,-2.68705134578999,-1.08333712506003,-12.3685536364367,-1.60371422072996
"2",2,775,3381080,22.9216699989353,0.302250037433709,-0.0900958515983046,7.43875957699394,0.392345889032014
"3",3,56,718196,7.79731438214638,-2.32526130118449,-1.63930380336761,-7.68559603979498,-0.685957497816883
"4",4,67,880299,7.61105033630619,-2.14592037252867,-1.43578469317498,-7.87186008563517,-0.71013567935369
"5",5,645,2890108,22.3175050897752,0.118637324876135,-0.246997165014383,6.83459466783384,0.365634489890518
"6",6,178,698295,25.4906593918043,-1.16882944162755,-1.66740466608478,10.0077489698629,0.498575224457229
"7",7,503,5119186,9.82578089563458,-0.130022821819899,0.324704405354373,-5.65712952630678,-0.454727227174272
"8",8,1443,3635966,39.6868397559273,0.923866566854233,-0.017416211346271,24.2039293339859,0.941282778200502
"9",9,749,8893742,8.42165198855555,0.268125991597581,0.87705684666485,-7.06125843338581,-0.60893085506727
"10",10,476,1728429,27.5394592430467,-0.185195137688217,-0.761078133224316,12.0565488211053,0.575882995536096
"11",11,641,5719709,11.2068638456956,0.112416465001032,0.435626893289012,-4.27604657624576,-0.323210428287984
"12",12,2087,3523858,59.2248609336699,1.29286991515756,-0.0487346245398079,43.7419505117285,1.34160453969737
"13",13,123,2806334,4.38294230123713,-1.53842863654722,-0.276412031437395,-11.0999681207042,-1.26201660510983
"14",14,1099,7742303,14.1947428303956,0.651542962483983,0.738408151880785,-1.28816759154576,-0.0868651893967995
"15",15,1932,16364210,11.806252791916,1.21569802285283,1.48680559635028,-3.67665763002536,-0.271107573497452
"16",16,902,4529914,19.9120778010355,0.454001528142986,0.202411918084584,4.42916737909414,0.2515896100584
"17",17,597,1874188,31.853794816742,0.0413041214729644,-0.680115537727433,16.3708843948006,0.721419659200397
"18",18,151,1178403,12.8139524424157,-1.33333315510471,-1.1441309046948,-2.66895797952566,-0.189202250409917
"19",19,719,4941059,14.5515364216456,0.227248365801409,0.289288644012283,-0.931374000295763,-0.0620402782108784
"20",20,536,3959042,13.53862878949,-0.066478830848836,0.0677110401246122,-1.94428163245136,-0.134189870973449
"21",21,409,6067607,6.74071343117641,-0.336897835876836,0.494673256720692,-8.74219699076495,-0.831571092597529
"22",22,111,1943889,5.71020258872806,-1.6410827906073,-0.64360043104007,-9.7727078332133,-0.997482359567235
"23",23,214,1484960,14.4111625902381,-0.984636976897787,-0.912903200817743,-1.07174783170326,-0.0717337760800456
"24",24,261,2702145,9.65899313323304,-0.786092584596944,-0.314245134631912,-5.82391728870832,-0.471847449965034
"25",25,1208,2932313,41.1961478873504,0.746108386575123,-0.232499505286411,25.713237465409,0.978607891861532
"26",26,575,2851462,20.165094256911,0.00375704887771278,-0.26045919147651,4.68218383496964,0.26421624035422
"27",27,140,2334493,5.99701948131778,-1.40897056931033,-0.460496299759079,-9.48589094062358,-0.948474269551256
"28",28,555,3461336,16.0342711600376,-0.0316448781732035,-0.0666363949733366,0.551360738096237,0.0349915168001305
"29",29,70,1242734,5.63274200271337,-2.10211774987028,-1.09097724544603,-9.85016841922799,-1.01114050442425
"30",30,863,7923198,10.892066562012,0.40980169916379,0.761503875522047,-4.59084385992936,-0.351702176358253
"31",31,40,2064151,1.93784272565331,-2.6617335378057,-0.583572032824627,-13.5450676962881,-2.07816150498107
"32",32,167,1550179,10.7729494464833,-1.23261917950288,-0.869920628548314,-4.70996097545806,-0.362698550954567
